trad	simp	py	eng	fra
丷	丷	xx5	/one of the characters used in kwukyel, an ancient Korean writing system/	
主題曲	主题曲	zhu3 ti2 qu1		/indicatif/
主題曲	主题曲	zhu3 ti2 qu3	/theme song/	/chanson de bande originale/
主題演講	主题演讲	zhu3 ti2 yan3 jiang3	/keynote speech/	
主題演講	主题演讲	zhu3 ti3 yan3 jiang3		/keynote/discours d'ouverture d'une conférence ou d'un événement/
丼	丼	dong4	"/(Tw) bowl of steamed rice with other food on top (loanword from Japanese ""donburi"")/"	
丼	丼	jing3	/old variant of 井[jing3]/	
乀	乀	fu2	/stretch/	
乀	乀	pie3	/variant of 丿[pie3]/	
乇	乇	tuo1	/archaic variant of 托[tuo1]/	
乇	乇	zhe2	"/""blade of grass"" component in Chinese characters/"	/torr (unité de pression)/
乖乖	乖乖	guai1 guai1	/(of a child) well-behaved/obediently/(term of endearment for a child) darling/sweetie/	
乖乖	乖乖	guai1 guai5	/goodness gracious!/oh my lord!/	/chéri/Bonne grace !/
乘	乘	cheng2	/surname Cheng//to ride/to mount/to make use of/to avail oneself of/to take advantage of/to multiply (math.)/Buddhist sect or creed/	/prendre (un transport)/monter dans/profiter de qch/exploiter/multiplier/
乘	乘	sheng4	/(archaic) four horse military chariot/(archaic) four/generic term for history books/	
乙	乙	yi3	"/second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/second in order/letter ""B"" or Roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc/second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1])/ethyl/bent/winding/radical in Chinese characters (Kangxi radical 5)/ancient Chinese compass point: 105°/"	/2e des dix Troncs célestes/deuxième/second/
乙	乙	zhe2	/turning stroke (in Chinese characters), aka 折[zhe2]/	
乾	乾	gan1		/homme/mâle/masculin/le souverain/l'empereur/l'un des huit trigrammes représentant le ciel/(nom de famille)/
乾	乾	qian2	/surname Qian//one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven/male principle/☰/ancient Chinese compass point: 315° (northwest)/	
乾噦	干哕	gan1 yue3		/avoir des haut-le-coeur/
乾噦	干哕	gan1 yue5	/to dry-heave/to retch/	
乿	乿	luan4	/archaic variant of 亂|乱[luan4]/	
乿	乿	zhi4	/archaic variant of 治[zhi4]/	
了	了	le5	/(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause)/	/(utilisé après un verbe ou un adjectif pour marquer l'accomplissement d'une action)/(mis à la fin d'une phrase pour marquer un changement ou une évidence)/
了	了	liao3	/to finish/to achieve/variant of 瞭|了[liao3]/to understand clearly/	
事兒B	事儿B	shi4 r b		/casse-couille/casse-pieds/chiant/
事兒B	事儿B	shi4 r5 b	/(coll.) fussbudget/pain in the ass/	
事兒媽	事儿妈	shi4 r ma1		/casse-couille/casse-pieds/chiant/
事兒媽	事儿妈	shi4 r5 ma1	/(coll.) fussbudget/pain in the ass/	
互訴衷腸	互诉衷肠	hu1 su4 zhong1 chang2		/(expr. idiom.) se confier l'un à l'autre/
互訴衷腸	互诉衷肠	hu4 su4 zhong1 chang2	/(idiom) to confide in each other/	
些微	些微	xie1 wei1	/slight; minor; small/slightly/	
些微	些微	xie1 wei2		/légèrement/un peu de/quelque/
亨丁頓舞蹈症	亨丁顿舞蹈症	heng1 ding1 dun4 wu3 dao3 zheng4	/Huntington's disease/	/maladie de Huntington/
亨丁頓舞蹈症	亨丁顿舞蹈症	heng1 ding1 dun4 wu3 dao4 zheng4		/maladie de Huntington/
亹	亹	men2	/mountain pass/defile (archaic)/	
亹	亹	wei3	/resolute/	/résolu/
亽	亽	ji2	/archaic variant of 亼[ji2]/	
亽	亽	xx5	"/one of the characters used in kwukyel (phonetic ""ra""), an ancient Korean writing system/"	/(un des caractères utilisés en kwukyel (phonétique ra), un ancien système d'écriture coréen)//(un des caractères utilisés en kwukyel (phonétique ra), un ancien système d'écriture coréen)/
什	什	shen2	/what/	
什	什	shi2	/ten (used in fractions, writing checks etc)/assorted/miscellaneous/	/dix (utilisé dans une fraction, pour écrire des chèques, etc.)/assorti/divers/
仔	仔	zai3	/variant of 崽[zai3]/(dialect) (bound form) young man/	/petit d'un animal/fils/
仔	仔	zi1	/used in 仔肩[zi1 jian1]/	
仔	仔	zi3	/(bound form) (of domestic animals or fowl) young/(bound form) fine; detailed/	/soigneux/méticuleux/petit d'un animal domestique/
仡	仡	ge1	/used in 仡佬族[Ge1 lao3 zu2], Gelao or Klau ethnic group of Guizhou/Taiwan pr. [qi4]/	
仡	仡	yi4	/strong/brave/	/fort/braver/
令	令	ling2	/used in 脊令[ji2 ling2]/used in 令狐[Ling2 hu2] (Taiwan pr. [ling4])/	
令	令	ling3	/classifier for a ream of paper/	/classificateur pour une rame de papier/
令	令	ling4	/to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)/type of short song or poem/	/causer/commande/ordonner/rame de papier/provoquer/décret/loi/honorable/
任	任	ren2	/surname Ren/Ren County 任縣|任县[Ren2 Xian4] in Hebei/	
任	任	ren4	/to assign/to appoint/to take up a post/office/responsibility/to let/to allow/to give free rein to/no matter (how, what etc)/classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)/	/nommer/désigner/assumer une fonction/occuper un poste/laisser faire/fonction/poste/n'importe quel/quelque... que ce soit/
任丘市	任丘市	ren2 qiu1 shi4	/Renqiu, county-level city in Cangzhou 滄州|沧州[Cang1 zhou1], Hebei/	
任丘市	任丘市	ren4 qiu1 shi4		/Renqiu (Hebei)/
任務欄	任务栏	ren4 wu4 lan2		/Barre des tâches/
任務欄	任务栏	ren4 wu5 lan2	/taskbar (computing)/	/barre des tâches/
任安	任安	ren2 an1	/Ren An (-c. 90 BC), Han Dynasty general, also called Ren Shaoqing 任少卿/	/Ren An (général sous la dynastie Han)/
任安	任安	ren4 an1		/Ren An (général sous la dynastie Han)/
任達華	任达华	ren2 da2 hua2	/Simon Yam Tat-Wah (1955-), Hong Kong actor and film producer/	/Simon Yam Tat-Wah (acteur et producteur hongkongais)/
任達華	任达华	ren4 da2 hua2		/Simon Yam (acteur et producteur hongkongais)/
份子	份子	fen4 zi3	/Taiwan variant of 分子[fen4 zi3]/	
份子	份子	fen4 zi5	/one's share of expenses (e.g. when buying a gift collectively)/cash gift/	/cotisation/
伝	伝	chuan2	/Japanese variant of 傳|传/	
伝	伝	yun2	/to summon/to propagate/to transmit/	/appeler/diffuser/transmettre/
伭	伭	xian2	/surname Xian//(literary) cruel; ruthless/(literary) dark red; black/	
伭	伭	xuan2	/variant of 玄[xuan2]/variant of 懸|悬[xuan2]/	
伯	伯	ba4	/variant of 霸[ba4]/	
伯	伯	bai3	/one hundred (old)/	/cent (arch.)/
伯	伯	bo2	/father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/	/oncle (frère aîné du père)/frère le plus âgé/comte/
伲	伲	ni3	/variant of 你[ni3]/	
伲	伲	ni4	/(dialect) I/my/we/our/	/(dial.) je/mon/nous/notre/
伺候	伺候	ci4 hou4		/servir/
伺候	伺候	ci4 hou5	/to serve; to wait upon/	
何為	何为	he2 wei2	/what is/(old) what for/(in a rhetorical question) it's no use/	
何為	何为	he2 wei4	/(old) why/	
佚	佚	die2	/old variant of 迭[die2]/	
佚	佚	yi4	/surname Yi//lost/missing/forsaken/dissolute/(of a woman) beautiful/fault/offense/hermit/variant of 逸[yi4]/	/oisif/fainéant/omettre/
作	作	zuo1	/(bound form) worker/(bound form) workshop/(slang) troublesome; high-maintenance (person)/	
作	作	zuo4	/to do; to engage in/to write; to compose/to pretend; to feign/to regard as; to consider to be/to be; to act the part of/to feel (itchy, nauseous etc)/writings; works/	/faire/apparaitre/rédiger/ouvrage/oeuvre/considérer comme/
作料	作料	zuo2 liao5		/condiment/épice/assaisonnement/
作料	作料	zuo4 liao5	/condiments/seasoning/coll. pr. [zuo2 liao5]/Taiwan pr. [zuo2 liao4]/	
佝	佝	gou1	/used in 佝僂|佝偻[gou1 lou2]/	
佝	佝	kou4	/used in 佝瞀[kou4mao4]/	
佳麗釀	佳丽酿	jia1 li4 niang2		/Carignan/
佳麗釀	佳丽酿	jia1 li4 niang4	/Carignan (grape type)/	
使喚	使唤	shi3 huan4		/ordonner à qqn/utiliser qqn/
使喚	使唤	shi3 huan5	/to order sb around/(coll.) to handle (a draught animal, tool, machine etc)/Taiwan pr. [shi3 huan4]/	
供應鏈	供应链	gong1 ying1 lian4		/chaine logistique/chaine d'approvisionnement/chaine de valorisation/
供應鏈	供应链	gong1 ying4 lian4	/supply chain/	/chaîne d'approvisionnement/
保長	保长	bao3 chang2	/(math.) distance-preserving/isometric/	/isométrique/
保長	保长	bao3 zhang3	/head of a bao 保[bao3] in the baojia 保甲[bao3 jia3] system/	
俞	俞	shu4	/variant of 腧[shu4]/	
俞	俞	yu2	/surname Yu//yes (used by Emperor or ruler)/OK/to accede/to assent/	/(nom de famille)/
俟	俟	qi2	/used in 万俟[Mo4 qi2]/	
俟	俟	si4	/(literary) to wait for/	
俵	俵	biao3		/distribuer/
俵	俵	biao4	/to distribute/Taiwan pr. [biao3]/	
個	个	ge3	/used in 自個兒|自个儿[zi4 ge3 r5]/	
個	个	ge4	/(classifier used before a noun that has no specific classifier)/(bound form) individual/	
倍兒棒	倍儿棒	bei4 r bang4		/(dial.) magnifique/excellent/
倍兒棒	倍儿棒	bei4 r5 bang4	/(dialect) awesome/excellent/	
倒轉	倒转	dao4 zhuan3	/to make an about-turn; to reverse one's direction, policy, sequence etc; to turn things on their head/	/faire un demi-tour/faire volte-face/faire marche arrière/inverser sa direction/
倒轉	倒转	dao4 zhuan4	/(of time, or a video clip etc) to run in reverse/Taiwan pr. [dao4 zhuan3]/	
倔	倔	jue2	/used in 倔強|倔强[jue2 jiang4]/	
倔	倔	jue4	/gruff; surly/	/revêche, bourru, obstiné/
倘	倘	chang2	/used in 倘佯[chang2 yang2]/	
倘	倘	tang3	/if; supposing; in case/	/si/
倞	倞	jing4	/strong/powerful/	/fort/puissant/
倞	倞	liang4	/distant/to seek/old variant of 亮[liang4]/bright/	
假	假	gei1	/used in 假掰[gei1 bai1]/	
假	假	jia3	/fake/false/artificial/to borrow/if/suppose/	
假	假	jia4	/vacation/	/vacances/congés/autorisation d'absence/
偕	偕	jie1		/avec/tout/
偕	偕	xie2	/in company with/	/avec/tout/
偲	偲	cai1	/(literary) learned; erudite/(literary) gifted; highly talented/Taiwan pr. [sai1]/	
偲	偲	si1	/used in 偲偲[si1si1]/	/talentueux/urgent/
傍	傍	bang1		/s'approcher de/être près de/près/proche/avoir une relation intime avec qqn/
傍	傍	bang4	/near/approaching/to depend on/(slang) to have an intimate relationship with sb/Taiwan pr. [pang2], [bang1], [bang4]/	/s'approcher de/être près de/près/proche/intime/
傳給	传给	chuan2 gei3	/to pass on to; to transfer to; to hand on to/to pass to (in football etc)/	/transmettre à/transférer à/passer à/
傳給	传给	chuan2 gei5		/transmettre (à qqn)/envoyer/passer/faire une passe/donner en main propre/livrer/remettre/transférer/
僂	偻	lou2	/hunchback/	
僂	偻	lu:3	/crookbacked/	
像模像樣	像模像样	xiang4 mo2 xiang4 yang4		/solennel/présentable/décent/
像模像樣	像模像样	xiang4 mu2 xiang4 yang4	/solemn/presentable/decent/Taiwan pr. [xiang4 mo2 xiang4 yang4]/	
僥	侥	jiao3	/by mere luck/	/fourbe/
僥	侥	yao2	/used in 僬僥|僬侥[Jiao1 Yao2]/	
儘快	尽快	jin3 kuai4	/as quickly as possible; as soon as possible/	
儘快	尽快	jin4 kuai4		/le plus vite possible/
優生	优生	you1 sheng1	/outstanding student/to give birth to healthy babies (typically involving prenatal screening and the abortion of offspring with a severe abnormality)/to enhance the genetic quality of a population; eugenics/	/eugénisme/étudiant exceptionnel/
優生	优生	you4 sheng1		/eugénisme/
免	免	mian3	/to excuse sb/to exempt/to remove or dismiss from office/to avoid/to avert/to escape/to be prohibited/	/exempter de/dispenser de/faire grâce de/remettre (une peine)/relever ou reléguer qqn de ses fonctions/destituer/révoquer/éviter/se dispenser de/se soustraire à/échapper à/ne pas autoriser/ne pas permettre/
免	免	wen4	/old variant of 絻[wen4]/	
兒	儿	er2	/child/son/	/enfant/fils/
兒	儿	r		/(suffixe diminutif non-syllabique)/(finale rétroflexe)/
兒	儿	r5	/non-syllabic diminutive suffix/retroflex final/	
兙	兙	shi2		/décagramme/
兙	兙	shi2 ke4	/decagram (old) (single-character equivalent of 十克[shi2 ke4])/	
兛	兛	qian1		/Kilogramme/
兛	兛	qian1 ke4	/kilogram (old) (single-character equivalent of 千克[qian1 ke4])/	
兡	兡	bai3		/hectogramme/
兡	兡	bai3 ke4	/hectogram (old) (single-character equivalent of 百克[bai3 ke4])/	
兣	兣	li2 ke4	/centigram (old) (single-character equivalent of 釐克|厘克[li2 ke4])/	
兣	兣	li3		/centigramme/
內內	内内	nei4 nei4		/Nenê (joueur de basket-ball brésilien)/
內內	内内	nei4 nei5	/(coll.) panties/	/sous-vêtement/culotte/
內切	内切	nei4 qie1	/(math.) to inscribe/internally tangent/	
內切	内切	nei4 qie4		/être tangent extérieurement/
兩相	两相	liang3 xiang1	/both sides/	/deux parties/deux phases/
兩相	两相	liang3 xiang4	/two-phase (physics)/	
兩邊	两边	liang3 bian1	/either side; both sides/	
兩邊	两边	liang3 bian5		/de part et d'autre/les deux côtés/
冘	冘	yin2	/to go forward/to advance/	
冘	冘	you2	/(bound form) mostly used in either 冘豫[you2 yu4] or 冘疑[you2 yi2]/	
冰溜	冰溜	bing1 liu1		/stalactite/
冰溜	冰溜	bing1 liu4	/icicle/	/stalactite/
冷戰	冷战	leng3 zhan4	/(US-Soviet) Cold War//cold war/(fig.) strained relationship/to be barely on speaking terms/	/guerre froide/
冷戰	冷战	leng3 zhan5	/(coll.) shiver/shudder/	
凱撒	凯撒	kai3 sa1	/Caesar or Kaiser (name)/	/Caesar/Kaiser/
凱撒	凯撒	kai3 sa3		/César/Jules César/
凹	凹	ao1	/concave; depressed; sunken; indented; female (connector etc)/	/dépression/indentation/creux/concave/
凹	凹	wa1	/variant of 窪|洼[wa1]/(used in names)/	
分子	分子	fen1 zi3	/molecule/(math) numerator of a fraction/	/molécule/numérateur/
分子	分子	fen4 zi3	/members of a class or group/political elements (such as intellectuals or extremists)/part/	
分子	分子	fen4 zi5	/Taiwan variant of 份子[fen4 zi5]/	
刱	刱	chuang1	/variant of 創|创[chuang1]/	
刱	刱	chuang4	/variant of 創|创[chuang4]/	/établir/créer/
剋	克	ke4	/Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God//variant of 克[ke4]/to subdue/to overthrow/to restrain/	
剋	克	kei1		/gronder/battre (frapper)/
剗	刬	chan3	/variant of 鏟|铲[chan3]/	
剗	刬	chan4		/pelle/
剝削	剥削	bo1 xue1	/to exploit/exploitation/	/exploiter/exploitation/
剝削	剥削	bo1 xue4		/exploitation sociale/
剝皮	剥皮	bao1 pi2	/to skin; to flay; to peel/(fig.) (coll.) to haul (sb) over the coals/also pr. [bo1 pi2]/	/peler/écorcher/excorier/éplucher/crier sur qqn/punir physiquement qqn/
剝皮	剥皮	bo1 pi2		/Écorchement/
剿	剿	chao1	/to plagiarize/	
剿	剿	jiao3	/to destroy/to extirpate/	
劈柴	劈柴	pi1 chai2	/to chop firewood/to split logs/	/couper du bois de chauffage/fendre des bûches/
劈柴	劈柴	pi3 chai5	/chopped wood/firewood/	
劐	劐	huo1	/(coll.) to slit with a knife/(variant of 耠[huo1]) hoe/to loosen soil with a hoe/	
劐	劐	huo4	/(literary) variant of 穫|获[huo4]/	
劦	劦	lie4	/unending exertion/	
劦	劦	xie2	/variant of 協|协[xie2]/to cooperate/combined labor/	
勞	劳	lao2	/to toil/labor/laborer/to put sb to trouble (of doing sth)/meritorious deed/to console (Taiwan pr. [lao4] for this sense)/	/fatigue/peine/mérite/exploit/prendre la peine de/récompenser/
勞	劳	lao4		/consoler/
勦	勦	chao1		/exterminer/annihiler/
勦	勦	jiao3		/exterminer/annihiler/
包涵	包涵	bao1 han2		/excuser/pardonner/
包涵	包涵	bao1 han5	/to excuse; to forgive; to bear with; to be tolerant/	
匊	匊	ju1	/variant of 掬[ju1]/	
匊	匊	ju2		/tenir à pleine main/
化	化	hua1	/variant of 花[hua1]/	
化	化	hua4	/to make into/to change into/-ization/to ... -ize/to transform/abbr. for 化學|化学[hua4 xue2]/	/changer/transformer/fondre/digérer/se transformer en imitant un modèle/éduquer/transformer les moeurs/convertir/(suffixe) -fier/-iser/
匙	匙	chi2	/spoon/	/clef/clé/cuiller/cuillère/
匙	匙	shi5	/used in 鑰匙|钥匙[yao4 shi5]/	
匱	匮	gui4	/variant of 櫃|柜[gui4]/	
匱	匮	kui4	/surname Kui//to lack/lacking/empty/exhausted/	/épuisé/défectueux/
匹	匹	pi1	/mate/one of a pair/	/partenaire/un élément d'une paire/
匹	匹	pi3	/classifier for horses, mules etc/Taiwan pr. [pi1]/ordinary person/classifier for cloth: bolt/horsepower/	
區處	区处	qu1 chu3	/(literary) to handle/to treat/	
區處	区处	qu1 chu4	/(literary) dwelling/residence/(Tw) regional office of a company/	
半載	半载	ban4 zai3	/half a year/	/une demi-année/
半載	半载	ban4 zai4	/half load/	
卒	卒	cu4	/variant of 猝[cu4]/	
卒	卒	zu2	/soldier/servant/to finish/to die/finally/at last/pawn in Chinese chess/	/soldat/pion (échecs)/finir/achever/mourir/
卛	卛	lu:4	/old variant of 率[lu:4]/	
卛	卛	shuai4	/old variant of 率[shuai4]/	
卝	卝	guan4	/two bunches of hair on a child/	
卝	卝	kuang4	/classical variant of 礦|矿[kuang4]/	
卪	卪	jie2	/archaic variant of 節|节[jie2]/	
卪	卪	xx5	/one of the characters used in kwukyel, an ancient Korean writing system/	
卷	卷	juan3	/to roll up/roll/classifier for small rolled things (wad of paper money, movie reel etc)/	
卷	卷	juan4	/scroll/book/volume/chapter/examination paper/classifier for books, paintings: volume, scroll/	/livre/volume/tome/copie/dossier/
厚薄	厚薄	hou4 bao2	/thickness/also pr. [hou4 bo2]/	
厚薄	厚薄	hou4 bo2	/to favor one and discriminate against the other (abbr. for 厚此薄彼[hou4 ci3 bo2 bi3])/	
厪	厪	jin3	/hut/	
厪	厪	qin2	/variant of 廑[qin2]/	
厶	厶	mou3	/old variant of 某[mou3]/	
厶	厶	si1	/old variant of 私[si1]/	/privé (radical)/
厷	厷	gong1	/old variant of 肱[gong1]/	
厷	厷	hong2	/old variant of 宏[hong2]/	
參	参	can1	/to take part in/to participate/to join/to attend/to counsel/unequal/varied/irregular/uneven/not uniform/abbr. for 參議院|参议院 Senate, Upper House/	
參	参	cen1	/used in 參差|参差[cen1 ci1]/	
參	参	shen1	/ginseng/one of the 28 constellations/	
友盡	友尽	you3 jin3		/amivorce/séparation de deux amis/
友盡	友尽	you3 jin4	/(Internet slang) end of friendship/friendship over!/	/fin d'une amitié/
叕	叕	jue2		/vitesse/
叕	叕	zhuo2	/to join together/to lack/narrow and shallow/	
受累	受累	shou4 lei3	/to get dragged into/to get involved (on sb else's account)/	
受累	受累	shou4 lei4	/to be put to a lot of trouble/	/se fatiguer/
句	句	gou1	/variant of 勾[gou1]/	
句	句	ju4	/sentence/clause/phrase/classifier for phrases or lines of verse/	/phrase/proposition/(classificateur pour les phrases, les vers)/
另存為	另存为	ling4 cun2 wei2	/Save As ... (menu option in a software application)/	/enregistrer sous... (option de menu dans une application logicielle)/
另存為	另存为	ling4 cun2 wei4		/enregistrer sous (un fichier)/
可不	可不	ke3 bu4		/Comment se pourrait-il que... ?/Est-il possible que... ?/Est-ce que par hasard... ?/Et comment !/Parfaitement !/Assurément/
可不	可不	ke3 bu5	/see 可不是[ke3 bu5 shi4]/	/exactement/il en est ainsi/
吁	吁	xu1	/sh/hush/	/soupir/oh!/
吁	吁	yu4	/variant of 籲|吁[yu4]/	
吃	吃	chi1	/to eat; to consume/to eat at (a cafeteria etc)/to eradicate; to destroy/to absorb/to suffer (shock, injury, defeat etc)/	
吃	吃	ji2		/bégaiement/balbutiement/
吃食	吃食	chi1 shi2	/to eat (of bird or animal)/to feed/	/manger (pour un animal)/se nourrir/
吃食	吃食	chi1 shi5	/food/edibles/	
吅	吅	song4	/variant of 訟|讼[song4]/	
吅	吅	xuan1	/variant of 喧[xuan1]/	
合	合	ge3	/100 ml/one-tenth of a peck/measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗/	
合	合	he2	/to close/to join/to fit/to be equal to/whole/together/round (in battle)/conjunction (astronomy)/1st note of pentatonic scale/old variant of 盒[he2]/	
合子	合子	he2 zi3	/zygote (biology)/	/zygote/
合子	合子	he2 zi5	/pasty (i.e. pastry stuffed with meat or vegetables)/	
吒	吒	zha1	"/used for the sound ""zha"" in the names of certain legendary figures (e.g. 哪吒[Ne2 zha1])/Taiwan pr. [zha4]/"	
吒	吒	zha4	/variant of 咤[zha4]/	
吧	吧	ba1	/bar (loanword) (serving drinks, or providing Internet access etc)/to puff (on a pipe etc)/(onom.) bang/abbr. for 貼吧|贴吧[tie1 ba1]/	/bar/(onom.) bang/
吧	吧	ba5	/(modal particle indicating suggestion or surmise)/...right?/...OK?/...I presume./	/(utilisé à la fin d'une phrase pour marquer une suggestion, une requête ou ordre)/... pas vrai ?/... d'accord ?/
吧	吧	bia1	/(onom.) smack!/	
吧唧	吧唧	ba1 ji1	/(onom.) squishing sound/	
吧唧	吧唧	ba1 ji5	/to smack one's lips/	
吩咐	吩咐	fen1 fu4		/ordonner/sommer/enjoindre/commander/
吩咐	吩咐	fen1 fu5	/to tell; to instruct; to command/	
吵吵	吵吵	chao1 chao5	/to make a racket/to quarrel/	
吵吵	吵吵	chao3 chao3		/faire du bruit/
吶	呐	na4	/battle cry/	/cri (de guerre)/
吶	呐	na5	/sentence-final particle (abbr. for 呢啊[ne5 a5] or variant of 哪[na5])/	
吶	呐	ne5		/(particule finale d'une phrase)/
吸血	吸血	xi1 xie3		/sucer du sang/
吸血	吸血	xi1 xue4	/to suck blood/	/sucer le sang/
吽	吽	hong1	/sound of a Buddhist incantation/	
吽	吽	hou3	/roar or howl of an animal/bellow of rage/	/grondement ou cri d'un animal/mugissement/Om/Aum/
呔	呔	dai1	/(interjection) hey!/Taiwan pr. [tai5]/	
呔	呔	tai1		/Peptide/
呔	呔	tai3	/(dialect) non-local in one's speaking accent/	
